country_name,iso3c,gwno,iso_n,gwc,total_fatalities,nr_events,polygon_tooltip,from,to,length,last_update
Syria,SYR,652.0,760.0,SYR,7349,722,"There have been an estimated 7349 fatalities recorded in Syria from 722 events in 12 conflict dyads (Syria: Government, SNA - SDF, Government of Syria - Civilians, IS - SDF, IS - Civilians, Iran - Israel, Israel - Syria, Syria: Islamic State, Syria: Government/Rojava Kurdistan, Israel: Palestine, Israel: Southern Lebanon, Government of Israel - Civilians), since July 2024. The most recent conflict event was on 28 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Lebanon,LBN,660.0,422.0,LEB,4106,1057,"There have been an estimated 4106 fatalities recorded in Lebanon from 1057 events in 2 conflict dyads (Israel: Southern Lebanon, Israel: Palestine), since July 2024. The most recent conflict event was on 28 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Israel,ISR,666.0,376.0,ISR,18463,3348,"There have been an estimated 18463 fatalities recorded in Israel from 3348 events in 4 conflict dyads (Israel: Palestine, Government of Israel - Civilians, Iran - Israel, Israel: Southern Lebanon), since July 2024. The most recent conflict event was on 30 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Saudi Arabia,SAU,670.0,682.0,SAU,5,1,"There have been an estimated 5 fatalities recorded in Saudi Arabia from 1 events in the Yemen (North Yemen): Government conflict dyad, since July 2024. The most recent conflict event was on 10 March 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Yemen,YEM,678.0,887.0,YEM,1310,272,"There have been an estimated 1310 fatalities recorded in Yemen (North Yemen) from 272 events in 5 conflict dyads (Yemen (North Yemen): Government, AQAP - Forces of the Presidential Leadership Council, United Kingdom, United States of America - Yemen, Israel: Palestine, Australia, Bahrain, Canada, France, Italy, Netherlands, New Zeeland, Norway, Spain, United Kingdom, United States of America - Yemen), since July 2024. The most recent conflict event was on 29 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Afghanistan,AFG,700.0,4.0,AFG,249,83,"There have been an estimated 249 fatalities recorded in Afghanistan from 83 events in 6 conflict dyads (Afghanistan: Islamic State, Pakistan: Government, IS - Civilians, Afghanistan - Pakistan, Afghanistan: Government, Government of Afghanistan - Civilians), since July 2024. The most recent conflict event was on 08 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
India,IND,750.0,356.0,IND,587,184,"There have been an estimated 587 fatalities recorded in India from 184 events in 5 conflict dyads (CPI-Maoist - Civilians, India: Government, India: Kashmir, Kashmir insurgents - Civilians, Kuki - Meitei), since July 2024. The most recent conflict event was on 30 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Pakistan,PAK,770.0,586.0,PAK,2649,835,"There have been an estimated 2649 fatalities recorded in Pakistan from 835 events in 8 conflict dyads (Pakistan: Government, Pakistan: Balochistan, BRAS - Civilians, IS - Civilians, India: Kashmir, TTP - Civilians, Afghanistan - Pakistan, Shia (Pakistan) - Sunni (Pakistan)), since July 2024. The most recent conflict event was on 29 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Bangladesh,BGD,771.0,50.0,BNG,340,32,"There have been an estimated 340 fatalities recorded in Bangladesh from 32 events in the Opponents of Hasina - Supporters of Awami League conflict dyad, since July 2024. The most recent conflict event was on 29 September 2024.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Myanmar (Burma),MMR,775.0,104.0,MYA,2328,749,"There have been an estimated 2328 fatalities recorded in Myanmar (Burma) from 749 events in 8 conflict dyads (Myanmar (Burma): Government, Myanmar (Burma): Arakan, Myanmar (Burma): Kachin, Myanmar (Burma): Karen, Government of Myanmar (Burma) - Civilians, Myanmar (Burma): Karenni, Myanmar (Burma): Kokang, Myanmar (Burma): Pa-O), since July 2024. The most recent conflict event was on 30 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Thailand,THA,800.0,764.0,THI,71,45,"There have been an estimated 71 fatalities recorded in Thailand from 45 events in 2 conflict dyads (Cambodia (Kampuchea) - Thailand, Thailand: Patani), since July 2024. The most recent conflict event was on 28 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Cambodia,KHM,811.0,116.0,CAM,11,6,"There have been an estimated 11 fatalities recorded in Cambodia (Kampuchea) from 6 events in the Cambodia (Kampuchea) - Thailand conflict dyad, since July 2024. The most recent conflict event was on 28 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Philippines,PHL,840.0,608.0,PHI,141,46,"There have been an estimated 141 fatalities recorded in Philippines from 46 events in 3 conflict dyads (Philippines: Government, IS - Civilians, Philippines: Islamic State), since July 2024. The most recent conflict event was on 27 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Indonesia,IDN,850.0,360.0,INS,98,41,"There have been an estimated 98 fatalities recorded in Indonesia from 41 events in the Indonesia: West Papua conflict dyad, since July 2024. The most recent conflict event was on 06 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Papua New Guinea,PNG,910.0,598.0,PNG,32,1,"There have been an estimated 32 fatalities recorded in Papua New Guinea from 1 events in the Piande - Sakar conflict dyad, since July 2024. The most recent conflict event was on 15 September 2024.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
